focalID,focal_size,type,size,size_dif,size_bin
F01,6.2,neighbour,6.8,0.6,1
F01,,stranger,6.9,0.7,1
F02,6.2,neighbour,6.2,0,1
F02,,stranger,6.9,0.7,1
F03,5,neighbour,6.6,1.6,1
F03,,stranger,5.9,0.9,1
F04,5.2,neighbour,5.6,0.4,1
F04,,stranger,4.9,-0.3,-1
F05,6,neighbour,6.2,0.2,1
F05,,stranger,6.5,0.5,1
F06,8.2,neighbour,7,-1.2,-1
F06,,stranger,7,-1.2,-1
F07,5,neighbour,4.9,-0.1,-1
F07,,stranger,6.1,1.1,1
F08,6.3,neighbour,6.6,0.3,1
F08,,stranger,5.3,-1,-1
F09,7.4,neighbour,7.6,0.2,1
F09,,stranger,6.8,-0.6,-1
F10,6.8,neighbour,5.9,-0.9,-1
F10,,stranger,6.4,-0.4,-1
F11,6.5,neighbour,5.9,-0.6,-1
F11,,stranger,8,1.5,1
F12,8.3,neighbour,7.1,-1.2,-1
F12,,stranger,7.6,-0.7,-1
F14,5.9,neighbour,5.3,-0.6,-1
F14,,stranger,5.4,-0.5,-1
F15,8.2,neighbour,6.8,-1.4,-1
F15,,stranger,7.4,-0.8,-1
F16,6.5,neighbour,7.4,0.9,1
F16,,stranger,6.5,0,1
F17,6.5,neighbour,7,0.5,1
F17,,stranger,4,-2.5,-1
F18,6.1,neighbour,8,1.9,1
F18,,stranger,3.9,-2.2,-1